PROSPECTID,Total_TL,Tot_Closed_TL,Tot_Active_TL,Total_TL_opened_L6M,Tot_TL_closed_L6M,pct_tl_open_L6M,pct_tl_closed_L6M,pct_active_tl,pct_closed_tl,Total_TL_opened_L12M,Tot_TL_closed_L12M,pct_tl_open_L12M,pct_tl_closed_L12M,Tot_Missed_Pmnt,Auto_TL,CC_TL,Consumer_TL,Gold_TL,Home_TL,PL_TL,Secured_TL,Unsecured_TL,Other_TL,Age_Oldest_TL,Age_Newest_TL,time_since_recent_payment,time_since_first_deliquency,time_since_recent_deliquency,num_times_delinquent,max_delinquency_level,max_recent_level_of_deliq,num_deliq_6mts,num_deliq_12mts,num_deliq_6_12mts,max_deliq_6mts,max_deliq_12mts,num_times_30p_dpd,num_times_60p_dpd,num_std,num_std_6mts,num_std_12mts,num_sub,num_sub_6mts,num_sub_12mts,num_dbt,num_dbt_6mts,num_dbt_12mts,num_lss,num_lss_6mts,num_lss_12mts,recent_level_of_deliq,tot_enq,CC_enq,CC_enq_L6m,CC_enq_L12m,PL_enq,PL_enq_L6m,PL_enq_L12m,time_since_recent_enq,enq_L12m,enq_L6m,enq_L3m,AGE,NETMONTHLYINCOME,Time_With_Curr_Empr,pct_of_active_TLs_ever,pct_opened_TLs_L6m_of_L12m,pct_currentBal_all_TL,CC_utilization,CC_Flag,PL_utilization,PL_Flag,pct_PL_enq_L6m_of_L12m,pct_CC_enq_L6m_of_L12m,pct_PL_enq_L6m_of_ever,pct_CC_enq_L6m_of_ever,max_unsec_exposure_inPct,HL_Flag,GL_Flag,MARITALSTATUS_Single,EDUCATION_GRADUATE,EDUCATION_OTHERS,EDUCATION_POST-GRADUATE,EDUCATION_PROFESSIONAL,EDUCATION_SSC,EDUCATION_UNDER GRADUATE,GENDER_M,last_prod_enq2_CC,last_prod_enq2_ConsumerLoan,last_prod_enq2_HL,last_prod_enq2_PL,last_prod_enq2_others,first_prod_enq2_CC,first_prod_enq2_ConsumerLoan,first_prod_enq2_HL,first_prod_enq2_PL,first_prod_enq2_others,Approved_Flag_P2,Approved_Flag_P3,Approved_Flag_P4
7227,16,4,12,5,3,0.312,0.188,0.75,0.25,8,3,0.5,0.188,2,4,1,7,0,0,2,5,11,2,103,3,65,13,11,2,27,25,0,1,1,0,25,0,0,27,8,11,0,0,0,0,0,0,0,0,0,25,18,3,0,1,5,3,5,48,7,3,2,35,20000,76,0.75,0.625,0.631,1.0,1,0.827,1,0.6,0.0,0.6,0.0,14.865,0,0,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False
38865,12,3,9,6,3,0.5,0.25,0.75,0.25,11,3,0.917,0.25,2,0,1,6,0,0,2,0,12,3,16,4,41,4,4,1,27,27,1,1,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,26,1,1,1,13,7,12,3,19,10,2,45,15500,60,0.75,0.545,0.734,1.0,1,0.856,1,0.583,1.0,0.538,1.0,16.631,0,0,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False
17690,26,16,10,0,5,0.0,0.192,0.385,0.615,8,5,0.308,0.192,1,1,5,7,9,0,2,10,16,2,105,8,35,33,5,7,90,60,1,1,0,3,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,3,12,4,0,2,5,0,4,2,8,2,2,39,45000,155,0.385,0.0,0.683,0.678,1,0.893,1,0.0,0.0,0.0,0.0,10.465,1,0,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False
16175,6,2,4,2,2,0.333,0.333,0.667,0.333,3,2,0.5,0.333,0,1,2,2,0,0,1,1,5,0,64,4,42,10,7,3,3,3,0,3,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,17,5,3,4,4,2,3,61,11,6,1,30,30000,74,0.667,0.667,0.627,0.657,1,0.908,1,0.667,0.75,0.5,0.6,4.421,0,0,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False
39663,9,5,4,0,0,0.0,0.0,0.444,0.556,1,1,0.111,0.111,0,0,5,0,0,0,4,0,9,0,71,10,40,25,5,21,60,30,1,9,8,3,60,6,0,8,4,8,0,0,0,0,0,0,0,0,0,3,13,5,0,0,5,0,0,340,1,0,0,43,31000,50,0.444,0.0,0.846,0.638,1,0.905,1,0.0,0.0,0.0,0.0,16.576,0,0,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False
24625,21,12,9,1,2,0.048,0.095,0.429,0.571,3,3,0.143,0.143,0,4,2,7,0,1,3,7,14,4,156,2,33,35,2,23,120,120,4,4,0,120,120,16,11,11,0,0,0,0,0,0,0,0,0,0,0,120,44,9,1,5,10,1,5,5,18,7,5,48,35000,72,0.429,0.333,0.464,0.936,1,0.759,1,0.2,0.2,0.1,0.111,14.572,0,1,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False
12128,4,0,4,1,0,0.25,0.0,1.0,0.0,2,0,0.5,0.0,0,0,2,0,0,0,1,1,3,1,27,6,32,1,1,1,27,27,1,1,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,7,1,0,0,3,1,1,18,3,1,1,38,20000,131,1.0,0.5,1.018,0.612,1,0.381,1,1.0,0.0,0.333,0.0,6.983,0,0,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False
22447,33,23,10,2,1,0.061,0.03,0.303,0.697,3,1,0.091,0.03,1,2,2,8,7,0,1,9,24,13,55,2,59,31,0,13,46,16,4,4,0,3,3,3,0,63,4,7,0,0,0,0,0,0,0,0,0,3,26,5,0,0,13,3,5,34,9,6,5,39,25000,42,0.303,0.667,0.931,0.924,1,0.967,1,0.6,0.0,0.231,0.0,35.062,1,0,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False
6894,5,2,3,0,0,0.0,0.0,0.6,0.4,0,0,0.0,0.0,1,0,1,1,0,1,1,1,4,1,45,14,26,18,18,1,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,15,5,0,2,3,0,0,299,2,0,0,27,29000,104,0.6,0.0,0.964,0.928,1,0.669,1,0.0,0.0,0.0,0.0,5.278,0,1,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False
50583,19,15,4,0,1,0.0,0.053,0.211,0.789,2,5,0.105,0.263,0,1,1,14,0,1,1,3,16,1,102,7,60,6,5,2,20,20,1,2,1,20,20,0,0,18,4,10,0,0,0,0,0,0,0,0,0,20,30,6,0,1,7,1,1,71,3,2,1,34,30000,54,0.211,0.0,0.981,0.969,1,0.793,1,1.0,0.0,0.143,0.0,7.091,0,1,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
